signal,outcome,horizon_months,ic,n,ci_low,ci_high,excludes_zero,block_length,note
coupon_restraint,term_premium_10y,12,0.2693,223,-0.02,0.4789,False,12,
coupon_restraint,term_premium_10y,6,0.2557,229,0.025,0.4421,True,6,
quantity_composite,wam_shortening,3,0.254,233,0.0722,0.4074,True,3,
quantity_composite,term_premium_10y,12,0.2515,225,-0.0178,0.4524,False,12,
quantity_composite,wam_shortening,6,0.2512,230,0.0005,0.4567,True,6,
quantity_composite,term_premium_10y,6,0.2496,231,0.0284,0.4192,True,6,
bill_share_trend,term_premium_10y,6,0.2493,231,0.0117,0.4417,True,6,
bill_share_trend,term_premium_10y,12,0.2424,225,-0.0385,0.472,False,12,
incremental_bill_funding,wam_shortening,3,0.2342,157,0.0634,0.3855,True,3,
incremental_bill_funding,wam_shortening,6,0.2193,154,0.014,0.4038,True,6,
coupon_restraint,wam_shortening,6,0.2124,228,-0.0492,0.431,False,6,
coupon_restraint,wam_shortening,3,0.2054,231,0.0155,0.371,True,3,
coupon_restraint,term_premium_10y,3,0.2021,232,0.0119,0.3553,True,3,
quantity_composite,wam_shortening,12,0.1976,224,-0.1432,0.5284,False,12,
bill_share_trend,term_premium_10y,3,0.1824,234,-0.0123,0.3513,False,3,
quantity_composite,term_premium_10y,3,0.1659,234,-0.0256,0.3213,False,3,
bill_share_trend,wam_shortening,3,0.1609,233,-0.0487,0.3577,False,3,
incremental_bill_funding,wam_shortening,12,0.1527,148,-0.105,0.4011,False,12,
coupon_restraint,wam_shortening,12,0.1493,222,-0.2084,0.4382,False,12,
bill_share_trend,wam_shortening,6,0.1475,230,-0.1732,0.4061,False,6,
bill_share_trend,wam_shortening,12,0.0764,224,-0.3077,0.459,False,12,
coupon_restraint,long_end_auction_stress,6,-0.0455,206,-0.2581,0.1808,False,6,
quantity_composite,long_end_auction_stress,6,-0.0439,206,-0.2518,0.1879,False,6,
bill_share_trend,long_end_auction_stress,6,-0.0437,206,-0.2443,0.189,False,6,
incremental_bill_funding,term_premium_10y,6,0.0432,155,-0.1578,0.2502,False,6,
incremental_bill_funding,term_premium_10y,12,-0.0387,149,-0.1944,0.1232,False,12,
incremental_bill_funding,long_end_auction_stress,6,0.0351,155,-0.0991,0.1665,False,6,
coupon_restraint,long_end_auction_stress,12,0.0247,200,-0.187,0.2428,False,12,
incremental_bill_funding,long_end_auction_stress,3,-0.022,158,-0.1893,0.1307,False,3,
bill_share_trend,long_end_auction_stress,12,0.0188,200,-0.2024,0.246,False,12,
coupon_restraint,long_end_auction_stress,3,0.018,209,-0.1383,0.1961,False,3,
quantity_composite,long_end_auction_stress,3,-0.0141,209,-0.1737,0.1671,False,3,
incremental_bill_funding,long_end_auction_stress,12,-0.0117,149,-0.1884,0.1617,False,12,
incremental_bill_funding,term_premium_10y,3,-0.0084,158,-0.1824,0.1554,False,3,
bill_share_trend,long_end_auction_stress,3,0.0006,209,-0.1699,0.1854,False,3,
quantity_composite,long_end_auction_stress,12,-0.0005,200,-0.2071,0.2137,False,12,
